id,Торг_точка_чистый_адрес
184,"п.Тарасовский, ул.Мира, 96"
185,"г.Таганрог,пер.Гоголевский,29а"
186,"х.Груцынов, ул. Студенческая, 11"
187,"Очаковская ,87"
188,"Очаковская 87"
189,"п.Овощной, пер Цветочный 8"
190,"Ростовская обл пос Глубокий ул Вокзальная 187"
191,"Ростовская обл. пос. Глубокий ул. Вокзальная 187"
192,"с.Кулешовка, пер. Кулагина, 6а"
193,"Ольгинская, ул.Ленина, 147а"
194,"Таганрог,ул.Московская 6/2 торговый комплекс Теремок"
195,"Ростов н/Д, ул.Привокзальная, 3а"
196,"г.Ростов-на-Дону, ул.Малюгина 220/84"
197,"х.Юдино, ул.Лермонтова, 3"
198,"г.Азов, Кагальницкое ш., 37"
199,"Северный рынок пав №43 цокольный ряд"
200,"Северный рынок, пав. №43, цокольный ряд"
201,"г Таганрог пер Гоголевский 29а"
202,"г.Таганрог пер.Гоголевский 29а"
203,"Ростов н/Д, 20 линия, 26"
204,"Ростов н/Д, Днепропетровская 87"
205,"Краснод кр ст Староминская ул Новоясенская 131"
206,"Краснод. кр.ст.Староминская ул.Новоясенская 131"
207,"Краснод. кр.ст.Староминская ул.Новоясенская,131"
208,"Вавилова, 132 м-н Шоколад"
209,"Ростов н/Д, ул. Пирамидная, 4"
210,"Троллейбусная 10 (1 база)"
211,"Врубова 38 № 12"
212,"Врубова 38 № 44"
213,"Врубова,38 № 44"
214,"г. Шахты Артемовский р-к. пер. Татаркина 15"
215,"Аксайский р-н, п.Октябрьский, ул.Ленина, 48"
216,"346880, Ростовская обл., г. Батайск, ул. Энгельса 86"
217,"346880, Ростовская обл., г. Батайск, ул. Энгельса 227б"
218,"Куйбышевский р-н, с.Кульбатово, ул.Первомайская, 1"
219,"с.Покровское, 1254 км."
220,"Матвеев-Курган, Комсомольская, 1з"
221,г.Азов
222,"Азов, пер.Безымянный, 3"
223,"Азов, ул.Маяковского 77г м-н "Маячок""
224,"г Шахты ул Советская 66"
225,"г.Шахты ул.Советская 66"
226,"г.Шахты,ул.Советская 66"
227,"Б.Калитва, ул.Светлая, 7"
228,"ул Текучёва 30/11"
229,"с.Кагальник, П_x001F_ролетарская, 78а"
230,"г. Ростов-на-Дону, ул. Социалистическая, 1"
231,"г.Шахты, ул.Советская, 66"
232,"пос.Тарасовский ул стадионная 31г"
233,"Азовский р-он. п. Овощной, ул.Мира 12А"
234,"Матвеев-Курган, ул.Куйбышева, 45"
235,"Каменский р-н, х.Кочетовка, ул.Победы, 12"
236,"г.Ростов н/Д, ул.Бабушкина 3а"
237,"г.Ростов н/Д, ул.Добровольского 1/3"
238,"г.Ростов н/Д, ул.Космонавтов 22"
239,"г Ростов-на-Дону ул Новолесная 6/3"
240,"г.Ростов-на-Дону ул.Новолесная 6/3"
241,"г.Ростов-на-Дону, ул.Новолесная 6/3"
242,"ул. Пацаева 16/1"
243,"пр.40 лет Победы 73/15"
244,"пр.Буденовский , 120/1"
245,"г.Ростов-на-Дону ул.Закруткина 35/2"
246,"г.Ростов-на-Дону,ул.Закруткина,35/2"
247,"г. Ростов-на-Дону,ул Орская 14/18"
248,"ул. Станиславского 106/28"
249,"ул. Станиславского, 106/28"
250,"М.-Курган, Московская, 65"
251,"г Шахты ул Индустриальная7 а пав 30"
252,"г.Шахты ул. Индустриальная7 а пав.30"
253,"г.Шахты,ул. Индустриальная7 а пав.30"
254,"ст Староминская с Елизаветовка ул Дзержинского 31"
255,"ст.Староминская, с.Елизаветовка, ул.Дзержинского 31."
256,"с.Круглое, ул.Мира, 64в"
257,"Ростовская обл.,Зимовниковский р-н,ул.Дзержинского,50"
